player,team,league,position,nationality,secondNationality,active,dataset,age,elo,market_value,minutes,goals,assists,xg,shots
 P. Magambo, KCCA FC,Botola, DM,Morocco,,yes,Botola,26,42,0.092,,,,,
 S. Naili, FC Koniz,Botola, CM,Morocco,,yes,Botola,32,44,0.011,,,,,
 S. Labyad, -,Botola, ST,Morocco,,yes,Botola,27,42,0.037,,,,,
 H. Haouat, -,Botola, LW,Morocco,,yes,Botola,27,44,0.06,,,,,
 Soufian Haoufadi, Scanzorosciate,Botola, ST,Morocco,,yes,Botola,26,40,0.001,,,,,
 Abdel Belarbi, ASWH,Botola, ST,Morocco,,yes,Botola,24,44,0.001,,,,,
 Sabir Agougil, FC Paradiso,Botola, CM,Morocco,,yes,Botola,24,43,0.092,,,,,
 Hamza Ech Cheikh, Ibach,Botola, ST,Morocco,,yes,Botola,29,41,0.014,,,,,
 S. El Khiar, Canet Roussillon,Botola, CAM,Morocco,,yes,Botola,25,43,0.018,,,,,
 Samir Lagsir, PEC Zwolle,Botola, CAM,Morocco,,yes,Botola,22,41,0.267,,,,,
 J. Boutakhrit, Bayern Alzenau,Botola, ST,Morocco,,yes,Botola,25,44,0.114,,,,,
 W. Koutar, Colomiers,Botola, DM,Morocco,,yes,Botola,25,41,0.011,,,,,
 Monir, Alga Bishkek,Botola, LB,Morocco,,yes,Botola,27,42,0.066,,,,,
 Madyan Sounni, Châlonnais,Botola, RW,Morocco,,yes,Botola,23,44,0.001,,,,,
 M. El Arouch, Ittihad Tanger,Botola, CM,Morocco,,yes,Botola,21,40,0.284,,,,,
 Y. El Hilali, Orvietana Calcio,Botola, CAM,Morocco,,yes,Botola,22,42,0.042,,,,,
 Mehdi Loune, Alemannia Aachen,Botola, CAM,Morocco,,yes,Botola,21,44,0.253,,,,,
 Benjamin Atiabou, Werder Bremen II,Botola, RB,Morocco,,yes,Botola,22,42,0.146,,,,,
 Yousri Sbai, VVV Venlo,Botola, RB,Morocco,,yes,Botola,21,42,0.023,,,,,
 Mohammed Doudah, -,Botola, CM,Morocco,,yes,Botola,23,44,0.318,,,,,
 O. Taoualy, Moralo,Botola, CM,Morocco,,yes,Botola,25,44,0.01,,,,,
 Karim El Fakiri, Excelsior Maassluis,Botola, GK,Morocco,,yes,Botola,21,43,0.002,,,,,
 Hamza Haoudi, Pro Vercelli,Botola, CM,Morocco,,yes,Botola,24,45,0.157,,,,,
 R. Akbib, Jette,Botola, CB,Morocco,,yes,Botola,25,43,0.015,,,,,
 A. Imider, Polanka nad Odrou,Botola, LWB,Morocco,,yes,Botola,21,41,0.052,,,,,
 B. Moumou, 1860 München II,Botola, LW,Morocco,,yes,Botola,24,40,0.023,,,,,
 E. Barimil, Al Mesaimeer,Botola, RW,Morocco,,yes,Botola,24,43,0.287,,,,,
 W. Soudi, Rousset-Ste Victoire,Botola, RB,Morocco,,yes,Botola,28,42,0.011,,,,,
 I. Fakir, CD Don Benito,Botola, RW,Morocco,,yes,Botola,22,41,0.029,,,,,
 Ussama, UD Melilla B,Botola, CB,Morocco,,yes,Botola,24,44,0.022,,,,,
 A. Cherradi, Getafe B,Botola, CM,Morocco,,yes,Botola,22,42,0.072,,,,,
 Messo, Inter Escaldes,Botola, RW,Morocco,,yes,Botola,22,43,0.03,,,,,
 R. Zouhir, Egaleo,Botola, CM,Morocco,,yes,Botola,22,43,0.947,,,,,
 M. Achi, Rodez,Botola, CM,Morocco,,yes,Botola,24,43,0.268,,,,,
 A. Mohamed, Beerschot VA,Botola, RW,Morocco,,yes,Botola,20,43,1.804,,,,,
 Noah El Biache, Union Rochefortoise,Botola, RM,Morocco,,yes,Botola,21,45,0.136,,,,,
 Y. El Madi, Chatellerault,Botola, CB,Morocco,,yes,Botola,22,41,0.013,,,,,
 Ali Benelmir, Baden,Botola, LB,Morocco,,yes,Botola,20,42,0.016,,,,,
 Yasin Belhadj, B93,Botola, RW,Morocco,,yes,Botola,19,45,0.215,,,,,
 Zaki, RB Linense,Botola, ST,Morocco,,yes,Botola,23,43,0.021,,,,,
 H. Arbei, Karlsruher SC II,Botola, DM,Morocco,,yes,Botola,19,43,0.026,,,,,
 A. Bouda, -,Botola, CB,Morocco,,yes,Botola,20,40,0.01,,,,,
 Y. Chikhi, KFC Houtvenne,Botola, DM,Morocco,,yes,Botola,20,44,0.039,,,,,
 Saïd Saber, Besancon FC,Botola, CM,Morocco,,yes,Botola,21,42,0.067,,,,,
 Y. Dehli, -,Botola, CB,Morocco,,yes,Botola,19,44,0.027,,,,,
 Noa Autard, -,Botola, CM,Morocco,,yes,Botola,21,45,0.207,,,,,
 A. Darazi, Ittihad Tanger,Botola, DM,Morocco,,yes,Botola,21,41,0.051,,,,,
 I. Benlahrour, Stade Brestois II,Botola, LM,Morocco,,yes,Botola,19,40,0.001,,,,,
 Yanis Azouazi, -,Botola, CAM,Morocco,,yes,Botola,21,44,0.263,,,,,
 O. Lfareh, Sarrabus Ogliastra,Botola, LWB,Morocco,,yes,Botola,21,42,0.049,,,,,
 B. Merouga, -,Botola, ST,Morocco,,yes,Botola,20,44,0.035,,,,,
 M. Aubert, Servette,Botola, GK,Morocco,,yes,Botola,20,44,0.119,,,,,
 O. Achouitar, Vitesse,Botola, CB,Morocco,,yes,Botola,20,43,0.033,,,,,
 R. Atikallah, Jong AZ,Botola, CB,Morocco,,yes,Botola,19,44,0.298,,,,,
 I. Goudani, Excelsior Virton,Botola, CAM,Morocco,,yes,Botola,20,42,0.024,,,,,
 H. Bouraja, Olympique Alès,Botola, ST,Morocco,,yes,Botola,22,45,0.031,,,,,
 E. Achak, Ninove,Botola, LB,Morocco,,yes,Botola,20,41,0.026,,,,,
 A. Aoragh, Racing Mechelen,Botola, CAM,Morocco,,yes,Botola,21,45,0.013,,,,,
 Y. Lahrach, Union Namur,Botola, LB,Morocco,,yes,Botola,23,42,0.071,,,,,
 E. El Fattahi, Seyssinet,Botola, LB,Morocco,,yes,Botola,22,42,0.027,,,,,
 B. Khaderi, Jong PSV,Botola, CM,Morocco,,yes,Botola,18,45,0.021,,,,,
 S. Lazar, Jong Genk,Botola, LW,Morocco,,yes,Botola,19,45,0.387,,,,,
 H. Assehnoun, PuiU Helsinki,Botola, LW,Morocco,,yes,Botola,21,40,0.03,,,,,
 A. Bakoune, AC Monza,Botola, RB,Morocco,,yes,Botola,20,45,0.421,,,,,
 J. Regague, Green Gully Cavaliers,Botola, CB,Morocco,,yes,Botola,24,44,0.037,,,,,
 W. Ait Abdellah, RKAV Volendam,Botola, CB,Morocco,,yes,Botola,22,43,0.024,,,,,
 Z. Taifi, Orlando City,Botola, RB,Morocco,,yes,Botola,20,41,0.224,,,,,
 Ayoube Akabou, Stade Rennais,Botola, GK,Morocco,,yes,Botola,18,41,0.012,,,,,
 A. Bouzraa, Wuppertaler SV,Botola, RW,Morocco,,yes,Botola,23,44,0.034,,,,,
 Abdel-lah, UD Melilla,Botola, LW,Morocco,,yes,Botola,21,44,0.042,,,,,
 N. Amengai, Club NXT,Botola, CM,Morocco,,yes,Botola,18,44,0.147,,,,,
 A. Elmasnaouy, Oakland Roots,Botola, CAM,Morocco,,yes,Botola,20,42,0.013,,,,,
 Amir Belabid, FC Lahti,Botola, ST,Morocco,,yes,Botola,20,44,0.07,,,,,
 I. Gadiaga, US Monastir,Botola, ST,Morocco,,yes,Botola,21,43,0.001,,,,,
 S. Amaadacho, Bergisch Gladbach,Botola, LW,Morocco,,yes,Botola,21,42,0.084,,,,,
 Wael Mohya, B. Mönchengladbach,Botola, CAM,Morocco,,yes,Botola,17,45,0.028,,,,,
 Naël Ouajif, Dijon U19,Botola, -,Morocco,,yes,Botola,18,43,0.021,,,,,
 M. Nfati, Aviron Bayonnais,Botola, CM,Morocco,,yes,Botola,20,42,0.02,,,,,
 A. Kankonde, Charleroi II,Botola, ST,Morocco,,yes,Botola,18,40,0.036,,,,,
 I. Sadik, Cercle Brugge U21,Botola, CB,Morocco,,yes,Botola,18,45,0.044,,,,,
 S. Bourkaa, Locarno,Botola, LWB,Morocco,,yes,Botola,22,45,0.015,,,,,
 Adam El Ouali, Toulouse II,Botola, CM,Morocco,,yes,Botola,19,40,0.01,,,,,
 N. Blidi, Sevilla U19,Botola, CM,Morocco,,yes,Botola,18,41,0.002,,,,,
 S. Fillouche, Burgos CF B,Botola, ST,Morocco,,yes,Botola,19,41,0.024,,,,,
 S. Diki, Acren Lessines,Botola, CAM,Morocco,,yes,Botola,20,42,0.006,,,,,
 J. Naamad, Biellese,Botola, ST,Morocco,,yes,Botola,24,45,0.007,,,,,
Achraf El Idrissi, Difaâ El Jadida,Botola, CAM,Morocco,,yes,Botola, 30,26,0.001,,,,,
 Achraf Ramzi, FUS Rabat,Botola, CB,Morocco,,yes,Botola, 24,26,0.009,,,,,
 Youssef Aoujdal, Renaissance Zemamra,Botola, CB,Morocco,,yes,Botola, 24,26,0.001,,,,,
 J. Moussalli, FUS Rabat,Botola, RB,Morocco,,yes,Botola, 23,26,0.001,,,,,
 M. Al Asghar, FUS Rabat,Botola, CM,Morocco,,yes,Botola, 22,26,0.001,,,,,
 A. Bou Irkane, UTS Rabat,Botola, RB,Morocco,,yes,Botola, 22,26,0.015,,,,,
 H. Bousqal, UTS Rabat,Botola, DM,Morocco,,yes,Botola, 24,26,0.007,,,,,
 O. Dahr, FUS Rabat,Botola, CM,Morocco,,yes,Botola, -,26,0.001,,,,,
 Salaheddine Cofi, FUS Rabat,Botola, CM,Morocco,,yes,Botola, 22,26,0.001,,,,,
 M. Ramdani, RS Berkane,Botola, CM,Morocco,,yes,Botola, 23,26,0.002,,,,,
 B. Octobre, Hassania Agadir,Botola, DM,Morocco,,yes,Botola, 25,26,0.01,,,,,
 Y. Zoubir, Raja Casablanca,Botola, GK,Morocco,,yes,Botola, 24,26,0.005,,,,,
 A. Boulbir, Maghreb Fes,Botola, GK,Morocco,,yes,Botola, 31,26,0.002,,,,,
 I. El Alami, Kawkab Marrakech,Botola, CB,Morocco,,yes,Botola, 26,26,0.001,,,,,
 Abdellah Azrour, Raja Casablanca,Botola, CB,Morocco,,yes,Botola, 22,26,0.005,,,,,
 Hakim Mesbahi, FAR Rabat,Botola, GK,Morocco,,yes,Botola, 20,26,0.007,,,,,
 M. Bougaizane, FAR Rabat,Botola, RB,Morocco,,yes,Botola, 20,26,0.01,,,,,
 Adam Chakir, UTS Rabat,Botola, CM,Morocco,,yes,Botola, 20,26,0.024,,,,,
 I. Sadiki, FUS Rabat,Botola, GK,Morocco,,yes,Botola, 20,26,0.002,,,,,
 M. Kebdani, FAR Rabat,Botola, CB,Morocco,,yes,Botola, 19,26,0.002,,,,,
 K. Bilal, RS Berkane,Botola, GK,Morocco,,yes,Botola, 28,26,0.006,,,,,
 A. Sejjam, Renaissance Zemamra,Botola, CM,Morocco,,yes,Botola, 23,26,0.001,,,,,
 B. Allal, Renaissance Zemamra,Botola, CM,Morocco,,yes,Botola, 26,26,0.007,,,,,
 Abdesalem Achhab, FUS Rabat,Botola, LB,Morocco,,yes,Botola, 20,26,0.037,,,,,
 A. El Kadmiri, Renaissance Zemamra,Botola, CM,Morocco,,yes,Botola, -,26,0.01,,,,,
 M. Samoudi, Olympic Safi,Botola, CM,Morocco,,yes,Botola, 22,26,0.005,,,,,
 Mohamed Gharmal, COD Meknes,Botola, CAM,Morocco,,yes,Botola, 38,26,0.02,,,,,
 Ilyass Mahsoub, RS Berkane,Botola, RB,Morocco,,yes,Botola, 19,26,0.001,,,,,
 Ayman Zoubid, Raja Casablanca,Botola, CB,Morocco,,yes,Botola, -,26,0.001,,,,,
 H. El Belghyty, Hassania Agadir,Botola, CM,Morocco,,yes,Botola, 21,26,0.014,,,,,
 O. Nefah, RS Berkane,Botola, CB,Morocco,,yes,Botola, -,26,0.001,,,,,
 Abderrahmane Essaadi, Renaissance Zemamra,Botola, GK,Morocco,,yes,Botola, -,26,0.001,,,,,
 M. El Guartit, Ittihad Tanger,Botola, CM,Morocco,,yes,Botola, 21,26,0.003,,,,,
 T. El Koutouby, Olympique Dcheïra,Botola, GK,Morocco,,yes,Botola, 29,26,0.001,,,,,
 Moussa Ouazizi, Kawkab Marrakech,Botola, CM,Morocco,,yes,Botola, 31,26,0.002,,,,,
 Y. Hachloufi, Ittihad Tanger,Botola, GK,Morocco,,yes,Botola, 20,26,0.001,,,,,
 I. Motik, Hassania Agadir,Botola, GK,Morocco,,yes,Botola, 20,26,0.001,,,,,
 Y. Al-Amali, Hassania Agadir,Botola, LWB,Morocco,,yes,Botola, 22,26,0.005,,,,,
 Hamza Lazaar, Olympic Safi,Botola, CM,Morocco,,yes,Botola, 23,26,0.001,,,,,
 Zakaria Moudayane, Wydad Casablanca,Botola, CM,Morocco,,yes,Botola, 20,26,0.001,,,,,
 Bilal El Bouchari, RS Berkane,Botola, CM,Morocco,,yes,Botola, -,26,0.001,,,,,
 A. El Quaraoui, Ittihad Tanger,Botola, LB,Morocco,,yes,Botola, -,26,0.001,,,,,
 Houdaifa Jamaane, FUS Rabat,Botola, CM,Morocco,,yes,Botola, 19,26,0.01,,,,,
 Achraf Missou, FAR Rabat,Botola, CM,Morocco,,yes,Botola, 19,26,0.003,,,,,
 Akram Eddaoudi, FUS Rabat,Botola, CM,Morocco,,yes,Botola, 22,26,0.001,,,,,
 Louay El Moussaoui, Ittihad Tanger,Botola, LB,Morocco,,yes,Botola, 21,26,0.002,,,,,
 Amine El Attac, Raja Casablanca,Botola, CM,Morocco,,yes,Botola, -,26,0.001,,,,,
 A. Zouagui, Hassania Agadir,Botola, -,Morocco,,yes,Botola, 21,26,0.007,,,,,
 Adil Grnan, Hassania Agadir,Botola, CB,Morocco,,yes,Botola, 21,26,0.001,,,,,
 S. Farid, Raja Casablanca,Botola, LB,Morocco,,yes,Botola, 20,26,0.001,,,,,
 E. El Harti, COD Meknes,Botola, CM,Morocco,,yes,Botola, -,26,0.001,,,,,
 Soufiane Taher, COD Meknes,Botola, GK,Morocco,,yes,Botola, 22,26,0.001,,,,,
 Abdellah Boudlal, UTS Rabat,Botola, CM,Morocco,,yes,Botola, 23,26,0.006,,,,,
 Bilal Lakdah, Raja Casablanca,Botola, CB,Morocco,,yes,Botola, 22,26,0.001,,,,,
 Younes El Kaabi, RS Berkane,Botola, ST,Morocco,,yes,Botola, -,26,0.001,,,,,
 S. Benhar, Olympic Safi,Botola, CB,Morocco,,yes,Botola, 23,26,0.001,,,,,
 Ayman Echchennikh, FUS Rabat,Botola, ST,Morocco,,yes,Botola, 19,26,0.001,,,,,
 A. El Wadi, Raja Casablanca,Botola, GK,Morocco,,yes,Botola, -,26,0.001,,,,,
 El Hajjami, COD Meknes,Botola, CM,Morocco,,yes,Botola, -,26,0.001,,,,,
 Walid Atlassi, UTS Rabat,Botola, GK,Morocco,,yes,Botola, 21,26,0.001,,,,,
 Yassine Bahmad, UTS Rabat,Botola, CB,Morocco,,yes,Botola, -,26,0.001,,,,,
 Mounir El Gouj, Olympique Dcheïra,Botola, CM,Morocco,,yes,Botola, 22,26,0.001,,,,,
 Anass Aziz, Olympique Dcheïra,Botola, CM,Morocco,,yes,Botola, -,26,0.001,,,,,
 Hafid Id Said, Olympique Dcheïra,Botola, GK,Morocco,,yes,Botola, 27,26,0.005,,,,,
 Hamza Raji, RS Berkane,Botola, CB,Morocco,,yes,Botola, -,26,0.001,,,,,
